"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"12/15/2019","Squealing Pig","TST* SQUEALING PIG - LONG 274241349 - BOSTON, MA","33.00","debit","Restaurants","American Express Gold Card","",""
"12/15/2019","SAVONDECRUZAN BODY WO","SQ *SAVONDECRUZAN BODY WO","8.00","debit","Coffee Shops","freedom","",""
"12/15/2019","CVS","CVS/PHARMACY #01217","1.74","debit","Pharmacy","freedom","",""
"12/15/2019","SP * TEA IS THE WAY","SP * TEA IS THE WAY","19.00","debit","Coffee Shops","freedom","",""
"12/14/2019","GrubHub","AplPay GRUBHUB*JPKITCHEN - NEW YORK, NY","29.00","debit","Food & Dining","American Express Gold Card","",""
"12/14/2019","CLOVER FOOD LAB - Boston, MA","CLOVER FOOD LAB - Boston, MA","23.10","debit","Restaurants","American Express Gold Card","",""
"12/14/2019","TST* TATTE BAKERY NORTH 300513810 - BOSTON, MA","TST* TATTE BAKERY NORTH 300513810 - BOSTON, MA","6.42","debit","Restaurants","American Express Gold Card","",""
"12/13/2019","Target","TARGET BOSTON MA","25.13","debit","Shopping","Discover","",""
"12/13/2019","Target","TARGET BOSTON FENWAY 2822 - BOSTON, MA","24.99","credit","Shopping","American Express Gold Card","",""
"12/13/2019","TST* TATTE BAKERY NORTH 300513810 - BOSTON, MA","TST* TATTE BAKERY NORTH 300513810 - BOSTON, MA","4.82","debit","Restaurants","American Express Gold Card","",""
"12/13/2019","NORTHEASTERN UNI PAYROLL PPD ID: 7041679980","NORTHEASTERN UNI PAYROLL","1209.12","credit","Paycheck","TOTAL CHECKING","",""
"12/11/2019","Target","TARGET BOSTON FENWAY 2822 - BOSTON, MA","27.53","debit","Shopping","American Express Gold Card","",""
"12/11/2019","MBTA ROXBURY XNG","MBTA ROXBURY XNG","22.50","debit","Public Transportation","freedom","",""
"12/10/2019","Wollastons Market","WOLLASTON'S MARKET - BOSTON, MA","5.98","debit","Groceries","American Express Gold Card","",""
"12/10/2019","Amazon","AMZN MKTP US*ZV2C73503 AMZN.COM/BILLWA2SSO2B1LFVB","7.21","debit","Shopping","Discover","",""
"12/10/2019","Comcast","COMCAST CABLE COMM","40.35","debit","Transfer","freedom","",""
"12/10/2019","Comcast","COMCAST CABLE COMM","13.45","debit","Television","freedom","",""
"12/10/2019","REBECCA'S CAFE INC","REBECCA'S CAFE INC","3.60","debit","Restaurants","freedom","",""
"12/09/2019","Wollastons Market","WOLLASTON'S MARKET - BOSTON, MA","3.53","debit","Groceries","American Express Gold Card","",""
"12/09/2019","MUJI NEWBURY 6175021170","MUJI NEWBURY 6175021170","10.07","debit","Shopping","freedom","",""
"12/09/2019","Northeastern Uni Invoice","NORTHEASTERN UNI INVOICE","3004.70","credit","Income","TOTAL CHECKING","",""
"12/09/2019","ATM CASH DEPOSIT 12/07 280 HUNTI NGTON AVE BOSTON MA","ATM CASH DEPOSIT 12/07 280 HUNTI","308.00","credit","Income","TOTAL CHECKING","",""
"12/09/2019","American Express","AMERICAN EXPRESS ACH PMT    M920","611.52","debit","Credit Card Payment","TOTAL CHECKING","",""
"12/09/2019","Venmo","VENMO            PAYMENT    2828","10.00","debit","Transfer","TOTAL CHECKING","",""
"12/09/2019","Venmo","VENMO            PAYMENT    2828","0.29","debit","Transfer","TOTAL CHECKING","",""
"12/09/2019","DISCOVER E-PAYMENT 4801 WEB ID: 2510020270","DISCOVER         E-PAYMENT  4801","141.29","debit","Credit Card Payment","TOTAL CHECKING","",""
"12/08/2019","Wollastons Market","WOLLASTON'S MARKET - BOSTON, MA","4.49","debit","Groceries","American Express Gold Card","",""
"12/08/2019","Stop & Shop","AplPay STOP & SHOP #412 - BOSTON, MA","21.07","debit","Groceries","American Express Gold Card","",""
"12/08/2019","Apple","APPLE.COM/BILL 866-712-7753 CA","7.43","debit","Electronics & Software","Citi® Double Cash Card","",""
"12/08/2019","THINKING CUP HANOVER - Boston, MA","THINKING CUP HANOVER - Boston, MA","3.21","debit","Coffee Shops","American Express Gold Card","",""
"12/08/2019","The Butcher Shop","THE BUTCHER SHOP - BOSTON, MA","25.00","debit","Restaurants","American Express Gold Card","",""
"12/08/2019","THINKING CUP HANOVER - Boston, MA","THINKING CUP HANOVER - Boston, MA","2.41","debit","Coffee Shops","American Express Gold Card","",""
"12/08/2019","Wine & Spirits","HUNTINGTON WINE & SPIRIT","9.99","debit","Groceries","freedom","",""
"12/08/2019","Nintendo Digital","NINTENDO    *AMERICAUS","63.74","debit","Entertainment","freedom","",""
"12/07/2019","BARCELONA BROOKLINE - BROOKLINE, MA","BARCELONA BROOKLINE - BROOKLINE, MA","227.00","debit","Transfer","American Express Gold Card","",""
"12/07/2019","BARCELONA BROOKLINE - BROOKLINE, MA","BARCELONA BROOKLINE - BROOKLINE, MA","38.00","debit","Restaurants","American Express Gold Card","",""
"12/07/2019","Trader Joe's","TRADER JOE'S #510 QPS 510 - BOSTON, MA","0.84","debit","Groceries","American Express Gold Card","",""
"12/07/2019","- THANK YOU","ONLINE PAYMENT - THANK YOU","611.52","credit","Credit Card Payment","American Express Gold Card","",""
"12/07/2019","American Express","AMEX Airline Fee Reimbursement","30.00","credit","Credit Card Payment","American Express Gold Card","",""
"12/07/2019","Tavern In The Square","TAVERN IN THE SQUARE 436845558995550 - ALLSTON, MA","9.03","debit","Food & Dining","American Express Gold Card","",""
"12/07/2019","American Express","AMEX Airline Fee Reimbursement","23.00","credit","Credit Card Payment","American Express Gold Card","",""
"12/07/2019","INTERNET PAYMENT - THANK YOU","INTERNET PAYMENT - THANK YOU","141.29","credit","Credit Card Payment","Discover","",""
"12/06/2019","Wollastons Market","WOLLASTON'S MARKET - BOSTON, MA","6.16","debit","Groceries","American Express Gold Card","",""
"12/06/2019","Venmo","VENMO            PAYMENT    2821","3.00","debit","Transfer","TOTAL CHECKING","",""
"12/06/2019","Venmo Cashout Ppd","VENMO            CASHOUT","86.54","credit","Income","TOTAL CHECKING","",""
"12/06/2019","Chase card ending in 3408 12/06","Payment to Chase card ending in","2050.25","debit","Credit Card Payment","TOTAL CHECKING","",""
"12/06/2019","Payment Thank You - Web","Payment Thank You - Web","2050.25","credit","Credit Card Payment","freedom","",""
"12/06/2019","TST* TATTE BAKERY NORTH 300513810 - BOSTON, MA","TST* TATTE BAKERY NORTH 300513810 - BOSTON, MA","4.82","debit","Restaurants","American Express Gold Card","",""
"12/05/2019","Amazon","AMZN MKTP US*U21164NZ3 AMZN.COM/BILLWA6ET3AB2S8RX","19.98","debit","Shopping","Discover","",""
"12/05/2019","WORDPRESS ZM4JCSNYGA","WORDPRESS ZM4JCSNYGA","18.00","debit","Restaurants","freedom","",""
"12/05/2019","Venmo","VENMO            PAYMENT    2815","850.00","debit","Mortgage & Rent","TOTAL CHECKING","",""
"12/04/2019","Target","TARGET BOSTON MAAPPLE PAY ENDING IN 3804","23.40","debit","Shopping","Discover","",""
"12/04/2019","Amazon","AMZN MKTP US*9P2WQ9UA3 AMZN.COM/BILLWAXOKW6NP72FH","22.83","debit","Shopping","Discover","",""
"12/04/2019","Canary Square","CANARY SQUARE - BOSTON, MA","23.00","debit","Restaurants","American Express Gold Card","",""
"12/04/2019","MBTA BACK BAY","MBTA BACK BAY","22.50","debit","Public Transportation","freedom","",""
"12/03/2019","Walgreens","WALGREENS #7189","2.97","debit","Pharmacy","freedom","",""
"12/03/2019","Venmo Cashout Ppd","VENMO            CASHOUT","125.00","credit","Income","TOTAL CHECKING","",""
"12/02/2019","Stop & Shop","AplPay STOP & SHOP #412 - BOSTON, MA","45.27","debit","Groceries","American Express Gold Card","",""
"12/02/2019","Fb Jason Luciana","FB *Jason Luciana VISA DIRECT CA","104.10","credit","Income","TOTAL CHECKING","",""
"12/02/2019","NJT RAIL MY-TIX","NJT RAIL MY-TIX","14.00","debit","Travel","freedom","",""
"12/02/2019","ABC #59 HAWAII","ABC #59 HAWAII","10.46","debit","Transfer","freedom","",""
"12/02/2019","Texaco","TEXACO 0097619","19.13","debit","Transfer","freedom","",""
"12/02/2019","ABC #59 HAWAII","ABC #59 HAWAII","4.18","debit","Transfer","freedom","",""
"12/01/2019","Stone House","Stone House Cafe SEA 1574192001 - SEATTLE, WA","15.00","debit","Restaurants","American Express Gold Card","",""
"11/30/2019","LEMON GRASS GRILL SEAF - KAPAA, HI","LEMON GRASS GRILL SEAF - KAPAA, HI","29.00","debit","Restaurants","American Express Gold Card","",""
"11/30/2019","Alaska Air","ALASKA AIRLINES - SEATTLE, WA","30.00","debit","Air Travel","American Express Gold Card","",""
"11/30/2019","Alaska Air","ALASKA AIRLINES - SEATTLE, WA","30.00","debit","Air Travel","American Express Gold Card","",""
"11/29/2019","NORTHEASTERN UNI PAYROLL PPD ID: 7041679980","NORTHEASTERN UNI PAYROLL","1209.12","credit","Paycheck","TOTAL CHECKING","",""
"11/29/2019","EVERSOURCE WEB_PAY 3995 9823110819 WEB ID: 1202042013","EVERSOURCE       WEB_PAY    3995","79.64","debit","Utilities","TOTAL CHECKING","",""
"11/28/2019","ABC #59 HAWAII 0059 - LIHUE, HI","ABC #59 HAWAII 0059 - LIHUE, HI","11.06","debit","Groceries","American Express Gold Card","",""
"11/28/2019","American Express","AMEX Airline Fee Reimbursement","15.00","credit","Credit Card Payment","American Express Gold Card","",""
"11/28/2019","Spotify","Spotify USA 877-7781161 NY","4.99","debit","Music","Costco Anywhere Visa® Card by Citi","",""
"11/27/2019","American Express","AMEX Airline Fee Reimbursement","32.00","credit","Credit Card Payment","American Express Gold Card","",""
"11/25/2019","Brick Oven Pizza","BRICK OVEN PIZZA KALAHEO, 000912200566 - KALAHEO, HI","140.00","debit","Fast Food","American Express Gold Card","",""
"11/25/2019","EDEN COFFEE - KOLOA, HI","EDEN COFFEE - KOLOA, HI","20.16","debit","Transfer","American Express Gold Card","",""
"11/25/2019","CITI CARD ONLINE PAYMENT 4231 27491369414 WEB ID: CITICTP","CITI CARD ONLINE PAYMENT    4231","0.99","debit","Credit Card Payment","TOTAL CHECKING","",""
"11/25/2019","Wal-Mart","WAL-MART #2308","6.41","debit","Shopping","freedom","",""
"11/24/2019","Target","TARGET        00027862","5.44","debit","Shopping","freedom","",""
"11/24/2019","SOUND TRANSIT - SO QPS","SOUND TRANSIT - SO QPS","15.00","debit","Public Transportation","freedom","",""
"11/23/2019","PHILLIP'S SEAFOOD EWR - NEWARK, NJ","PHILLIP'S SEAFOOD EWR - NEWARK, NJ","39.00","debit","Transfer","American Express Gold Card","",""
"11/23/2019","PHILLIP'S SEAFOOD EWR - NEWARK, NJ","PHILLIP'S SEAFOOD EWR - NEWARK, NJ","38.00","debit","Restaurants","American Express Gold Card","",""
"11/23/2019","Alaska Air","ALASKA AIR IN FLIGHT 0000 - SEATAC, WA","15.00","debit","Transfer","American Express Gold Card","",""
"11/22/2019","SKILLET NORTH SATELL - SEATTLE, WA","SKILLET NORTH SATELL - SEATTLE, WA","34.00","debit","Transfer","American Express Gold Card","",""
"11/22/2019","SKILLET NORTH SATELL - SEATTLE, WA","SKILLET NORTH SATELL - SEATTLE, WA","35.00","debit","Restaurants","American Express Gold Card","",""
"11/22/2019","Alaska Air","ALASKA AIR IN FLIGHT 0000 - SEATAC, WA","32.00","debit","Transfer","American Express Gold Card","",""
"11/22/2019","GHOST ALLEY ESPRESSO - SEATTLE, WA","GHOST ALLEY ESPRESSO - SEATTLE, WA","12.66","debit","Coffee Shops","American Express Gold Card","",""
"11/22/2019","ONLINE PAYMENT, THANK YOU","ONLINE PAYMENT, THANK YOU","0.99","credit","Credit Card Payment","Costco Anywhere Visa® Card by Citi","",""
"11/22/2019","CVS","CVS/PHARMACY #08972","12.43","debit","Pharmacy","freedom","",""
"11/22/2019","NJT RAIL MY-TIX","NJT RAIL MY-TIX","14.00","debit","Vacation","freedom","",""
"11/21/2019","Java","JAVA LOVE SUFFERN LLC 0481 - SUFFERN, NY","5.75","debit","Food & Dining","American Express Gold Card","",""
"11/21/2019","SECAUCUS TRAIN STATION 1221 - SECAUCUS, NJ","SECAUCUS TRAIN STATION 1221 - SECAUCUS, NJ","5.52","debit","Food & Dining","American Express Gold Card","",""
"11/21/2019","WORDPRESS TNFGSWW936","WORDPRESS TNFGSWW936","102.00","debit","Transfer","freedom","",""
"11/20/2019","Starbucks","NU STARBUCKS 032407 93728032407 - BOSTON, MA","2.95","debit","Coffee Shops","American Express Gold Card","",""
"11/20/2019","Apple","APPLE.COM/BILL 866-712-7753 CA","0.99","debit","Electronics & Software","Costco Anywhere Visa® Card by Citi","",""
"11/20/2019","TST* TATTE BAKERY NORTH 300513810 - BOSTON, MA","TST* TATTE BAKERY NORTH 300513810 - BOSTON, MA","8.03","debit","Restaurants","American Express Gold Card","",""
"11/20/2019","Venmo Cashout Ppd","VENMO            CASHOUT","200.00","credit","Income","TOTAL CHECKING","",""
"11/20/2019","FLOYDS 99 BARBERSHOP","FLOYDS 99 BARBERSHOP","30.00","debit","Hair","freedom","",""
"11/20/2019","Nintendo Digital","NINTENDO    *AMERICAUS","15.93","debit","Entertainment","freedom","",""
"11/19/2019","THE PUDDINGSTONE TAVERN 00-08030155652 - BOSTON, MA","THE PUDDINGSTONE TAVERN 00-08030155652 - BOSTON, MA","49.00","debit","Restaurants","American Express Gold Card","",""
"11/19/2019","Wollastons Market","WOLLASTON'S MARKET - BOSTON, MA","3.53","debit","Groceries","American Express Gold Card","",""
"11/19/2019","CITI CARD ONLINE PAYMENT 4231 23083510602 WEB ID: CITICTP","CITI CARD ONLINE PAYMENT    4231","7.43","debit","Credit Card Payment","TOTAL CHECKING","",""
"11/18/2019","Wollastons Market","WOLLASTON'S MARKET - BOSTON, MA","3.99","debit","Groceries","American Express Gold Card","",""
"11/18/2019","TomTom","NU SWEET TOMTO259595 93729259595 - BOSTON, MA","3.89","debit","Electronics & Software","American Express Gold Card","",""
"11/18/2019","TST* TATTE BAKERY NORTH 300513810 - BOSTON, MA","TST* TATTE BAKERY NORTH 300513810 - BOSTON, MA","2.14","debit","Restaurants","American Express Gold Card","",""
"11/18/2019","American Express","AMERICAN EXPRESS ACH PMT    M347","501.03","debit","Credit Card Payment","TOTAL CHECKING","",""
"11/18/2019","Chase card ending in 3408 11/18","Payment to Chase card ending in","197.97","debit","Credit Card Payment","TOTAL CHECKING","",""
"11/18/2019","QDI*QUEST DIAGNOSTICS","QDI*QUEST DIAGNOSTICS","24.45","debit","Doctor","freedom","",""
"11/18/2019","WORDPRESS E2YRCY46TL","WORDPRESS E2YRCY46TL","5.00","debit","Restaurants","freedom","",""
"11/17/2019","- THANK YOU","ONLINE PAYMENT - THANK YOU","501.03","credit","Credit Card Payment","American Express Gold Card","",""
"11/17/2019","American Airlines","AMERICAN AIRLINES - FORT WORTH, TX","11.99","debit","Vacation","American Express Gold Card","",""
"11/17/2019","Trader Joe's","TRADER JOE'S #501 QPS 501 - BROOKLINE, MA","3.33","debit","Groceries","American Express Gold Card","",""
"11/17/2019","ONLINE PAYMENT, THANK YOU","ONLINE PAYMENT, THANK YOU","7.43","credit","Credit Card Payment","Costco Anywhere Visa® Card by Citi","",""
"11/17/2019","FOREST HILL CONVENIENCE","FOREST HILL CONVENIENCE","5.28","debit","Groceries","freedom","",""
"11/17/2019","Hyatt","HYATT REGENCY ORLANDO","1697.58","debit","Transfer","freedom","",""
"11/17/2019","MBTA AIRPORT","MBTA AIRPORT","22.50","debit","Public Transportation","freedom","",""
"11/17/2019","Payment Thank You - Web","Payment Thank You - Web","197.97","credit","Credit Card Payment","freedom","",""
"11/16/2019","Whole Foods","WHOLE FOODS MARKET - JAMAICA PLAIN, MA","4.43","debit","Groceries","American Express Gold Card","",""
"11/16/2019","Dunkin Donuts","AplPay DUNKIN' MOBILE AP 001 - CANTON, MA","10.00","debit","Coffee Shops","American Express Gold Card","",""
"11/15/2019","Stop & Shop","AplPay STOP & SHOP - JAMAICA PLAIN, MA","26.09","debit","Groceries","American Express Gold Card","",""
"11/15/2019","Popeye's","NU POPEYES 259611 93729259611 - BOSTON, MA","7.98","debit","Restaurants","American Express Gold Card","",""
"11/15/2019","Hudson News","HUDSON NEWS  ST1098","13.00","debit","Transfer","freedom","",""
"11/15/2019","Lyft","LYFT   *RIDE THU 11AM","21.60","debit","Transfer","freedom","",""
"11/15/2019","NORTHEASTERN UNI PAYROLL PPD ID: 7041679980","NORTHEASTERN UNI PAYROLL","1209.12","credit","Paycheck","TOTAL CHECKING","",""
"11/14/2019","Hyatt","HYATT REGENCY ORLD CC F& MCOR - ORLANDO, FL","7.00","debit","Transfer","American Express Gold Card","",""
"11/13/2019","FRONTERA COCINA - ORLANDO, FL","FRONTERA COCINA - ORLANDO, FL","38.00","debit","Transfer","American Express Gold Card","",""
"11/13/2019","FRONTERA COCINA - ORLANDO, FL","FRONTERA COCINA - ORLANDO, FL","15.00","debit","Restaurants","American Express Gold Card","",""
"11/13/2019","Inkley's","SPRINKLES #120 0033 - LAKE BUENA VI, FL","4.95","debit","Fast Food","American Express Gold Card","",""
"11/13/2019","Hyatt","HYATT REGENCY ORLD CC F& MCOR - ORLANDO, FL","8.52","debit","Transfer","American Express Gold Card","",""
"11/13/2019","Hyatt","HYATT REGENCY ORLD CC F& MCOR - ORLANDO, FL","19.50","debit","Transfer","American Express Gold Card","",""
"11/13/2019","Cuba Libre Orlando LLC","CUBA LIBRE - ORLANDO, FL","8.00","debit","Transfer","American Express Gold Card","",""
"11/13/2019","Hyatt","HYATT REGENCY ORLD CC F& MCOR - ORLANDO, FL","13.00","debit","Transfer","American Express Gold Card","",""
"11/12/2019","IHOP","IHOP - ORLANDO, FL","17.00","debit","Transfer","American Express Gold Card","",""
"11/12/2019","Hyatt","HYATT REGENCY ORLD CC F& MCOR - ORLANDO, FL","31.49","debit","Transfer","American Express Gold Card","",""
"11/12/2019","CVS","CVS/PHARMACY #10639","8.81","debit","Pharmacy","freedom","",""
"11/11/2019","Amazon","AMAZON.COM*1K47609G3 AMZN.COM/BILLWA4ZJTFKSFMUX","23.94","debit","Shopping","Discover","",""
"11/11/2019","Amazon","AMAZON.COM*D30I74283 AMZN.COM/BILLWA3H3CAW9RSK0","16.14","debit","Shopping","Discover","",""
"11/11/2019","Hyatt","HYATT REGENCY ORLD CC F& MCOR - ORLANDO, FL","21.00","debit","Transfer","American Express Gold Card","",""
"11/11/2019","Hyatt","HYATT REGENCY ORLD CC F& MCOR - ORLANDO, FL","11.18","debit","Transfer","American Express Gold Card","",""
"11/10/2019","Comcast","COMCAST CABLE COMM","17.56","debit","Television","freedom","",""
"11/10/2019","Comcast","COMCAST CABLE COMM","52.72","debit","Transfer","freedom","",""
"11/10/2019","Denny's","DENNY'S - ORLANDO, FL","17.31","debit","Transfer","American Express Gold Card","",""
"11/10/2019","Hyatt","HYATT REGENCY ORLD CC F& MCOR - ORLANDO, FL","10.65","debit","Transfer","American Express Gold Card","",""
"11/10/2019","B. B. King's Blues Club","BB KINGS BLUES CLUB - ORLANDO, FL","42.00","debit","Transfer","American Express Gold Card","",""
"11/10/2019","MBTA ROXBURY XNG","MBTA ROXBURY XNG","4.80","debit","Public Transportation","freedom","",""
"11/10/2019","Lyft","LYFT   *RIDE FRI 3PM","27.72","debit","Transfer","freedom","",""
"11/10/2019","MBTA RUGGLES","MBTA RUGGLES","2.90","debit","Public Transportation","freedom","",""
"11/09/2019","PUB ORLANDO 461682001337559 - ORLANDO, FL","PUB ORLANDO 461682001337559 - ORLANDO, FL","14.00","debit","Transfer","American Express Gold Card","",""
"11/09/2019","Miller S Ale House","MILLER S ALE HOUSE 050 000000050 - ORLANDO, FL","24.00","debit","Restaurants","American Express Gold Card","",""
"11/09/2019","Hyatt","HYATT REGENCY ORLD CC F& MCOR - ORLANDO, FL","8.52","debit","Transfer","American Express Gold Card","",""
"11/09/2019","Hyatt","HYATT REGENCY ORLD CC F& MCOR - ORLANDO, FL","20.00","debit","Transfer","American Express Gold Card","",""
"11/09/2019","PUB ORLANDO 461682001337559 - ORLANDO, FL","PUB ORLANDO 461682001337559 - ORLANDO, FL","25.00","debit","Transfer","American Express Gold Card","",""
"11/08/2019","Dunkin Donuts","HUDSON-DUNKIN ST1916 1916 - BOSTON, MA","11.54","debit","Transfer","American Express Gold Card","",""
"11/08/2019","PUB ORLANDO 461682001337559 - ORLANDO, FL","PUB ORLANDO 461682001337559 - ORLANDO, FL","10.00","debit","Transfer","American Express Gold Card","",""
"11/08/2019","Hyatt","HYATT REGENCY ORLD CC F& MCOR - ORLANDO, FL","15.00","debit","Transfer","American Express Gold Card","",""
"11/08/2019","PUB ORLANDO 461682001337559 - ORLANDO, FL","PUB ORLANDO 461682001337559 - ORLANDO, FL","6.00","debit","Transfer","American Express Gold Card","",""
"11/08/2019","TST* TATTE BAKERY NORTH 300513810 - BOSTON, MA","TST* TATTE BAKERY NORTH 300513810 - BOSTON, MA","8.83","debit","Restaurants","American Express Gold Card","",""
"11/08/2019","UNIQLO NEWBURY #57","UNIQLO NEWBURY #57","29.95","debit","Clothing","freedom","",""
"11/08/2019","Walgreens","WALGREENS #7189","4.23","debit","Pharmacy","freedom","",""
"11/08/2019","MBTA FOREST HILLS","MBTA FOREST HILLS","9.60","debit","Public Transportation","freedom","",""
"11/08/2019","FOREST HILL CONVENIENCE","FOREST HILL CONVENIENCE","2.59","debit","Groceries","freedom","",""
"11/07/2019","EVERSOURCE WEB_PAY 3965 2386110619 WEB ID: 1202042013","EVERSOURCE       WEB_PAY    3965","30.00","debit","Utilities","TOTAL CHECKING","",""
"11/07/2019","EVERSOURCE WEB_PAY 3965 2386110619 WEB ID: 1202042013","EVERSOURCE       WEB_PAY    3965","90.17","debit","Transfer","TOTAL CHECKING","",""
"11/07/2019","Starbucks","NU STARBUCKS 032407 93728032407 - BOSTON, MA","12.95","debit","Coffee Shops","American Express Gold Card","",""
"11/07/2019","Apple","APPLE.COM/BILL 866-712-7753 CA","7.43","debit","Electronics & Software","Costco Anywhere Visa® Card by Citi","",""
"11/07/2019","NU ON THE GO 28032845","NU ON THE GO  28032845","2.49","debit","Fast Food","freedom","",""
"11/07/2019","CITI CARD ONLINE PAYMENT 1631 13392633858 WEB ID: CITICTP","CITI CARD ONLINE PAYMENT    1631","4.99","debit","Credit Card Payment","TOTAL CHECKING","",""
"11/07/2019","ATM WITHDRAWAL 005469 11/07800 BOYLS","ATM WITHDRAWAL","200.00","debit","Cash & ATM","TOTAL CHECKING","",""
"11/06/2019","EARL'S KITCHEN + BAR - BOSTON, MA","EARL'S KITCHEN + BAR - BOSTON, MA","23.00","debit","Restaurants","American Express Gold Card","",""
"11/06/2019","Whole Foods","AplPay WHOLE FOODS MARKET - BOSTON, MA","13.52","debit","Groceries","American Express Gold Card","",""
"11/06/2019","- THANK YOU","ONLINE PAYMENT - THANK YOU","402.65","credit","Credit Card Payment","American Express Gold Card","",""
"11/06/2019","ONLINE PAYMENT, THANK YOU","ONLINE PAYMENT, THANK YOU","4.99","credit","Credit Card Payment","Costco Anywhere Visa® Card by Citi","",""
"11/06/2019","American Express","AMERICAN EXPRESS ACH PMT    M084","402.65","debit","Credit Card Payment","TOTAL CHECKING","",""
"11/06/2019","Chase card ending in 3408 11/06","Payment to Chase card ending in","48.39","debit","Credit Card Payment","TOTAL CHECKING","",""
"11/06/2019","Payment Thank You-Mobile","Payment Thank You-Mobile","48.39","credit","Credit Card Payment","freedom","",""
"11/05/2019","TST* TATTE BAKERY NORTH 300513810 - BOSTON, MA","TST* TATTE BAKERY NORTH 300513810 - BOSTON, MA","8.03","debit","Restaurants","American Express Gold Card","",""
"11/05/2019","American Express","AMEX Dining Credit","10.00","credit","Credit Card Payment","American Express Gold Card","",""
"11/04/2019","Wollastons Market","WOLLASTON'S MARKET - BOSTON, MA","2.99","debit","Groceries","American Express Gold Card","",""
"11/04/2019","Venmo","VENMO            PAYMENT    2682","875.00","debit","Mortgage & Rent","TOTAL CHECKING","",""
"11/03/2019","Wollastons Market","WOLLASTON'S MARKET - BOSTON, MA","2.99","debit","Groceries","American Express Gold Card","",""
"11/03/2019","Stop & Shop","AplPay STOP & SHOP - JAMAICA PLAIN, MA","22.91","debit","Groceries","American Express Gold Card","",""
"11/03/2019","MBTA RUGGLES","MBTA RUGGLES","9.60","debit","Public Transportation","freedom","",""
"11/03/2019","USA*ENMARK SERVICES VEND","USA*ENMARK SERVICES VEND","1.00","debit","Gas & Fuel","freedom","",""
"11/03/2019","RIVER STREET PREMIER PET","RIVER STREET PREMIER PET","2.25","debit","Gas & Fuel","freedom","",""
"11/02/2019","Stop & Shop","STOP & SHOP #425 - FALMOUTH, MA","79.12","debit","Transfer","American Express Gold Card","",""
"11/02/2019","Stop & Shop","STOP & SHOP #425 - FALMOUTH, MA","19.78","debit","Groceries","American Express Gold Card","",""
"11/02/2019","Persy's Place Inc","FALMOUTH PERSY S PLACE 000000001 - FLAMOUTH, MA","75.70","debit","Transfer","American Express Gold Card","",""
"11/02/2019","Persy's Place Inc","FALMOUTH PERSY S PLACE 000000001 - FLAMOUTH, MA","19.30","debit","Food & Dining","American Express Gold Card","",""
"11/02/2019","TST* BRASSICA KITCHEN + C 300518442 - JAMAICA PLAIN, MA","TST* BRASSICA KITCHEN + C 300518442 - JAMAICA PLAIN, MA","10.17","debit","Restaurants","American Express Gold Card","",""
"11/01/2019","GrubHub","AplPay GRUBHUB*LITTLEKITCHEN - NEW YORK, NY","18.00","debit","Food & Dining","American Express Gold Card","",""
"11/01/2019","GrubHub","AplPay GRUBHUB*LITTLEKITCHEN - NEW YORK, NY","21.00","debit","Transfer","American Express Gold Card","",""
"11/01/2019","British Beer Company","BRITISH BEER COMPANY 000000001 - PLYMOUTH, MA","82.92","debit","Transfer","American Express Gold Card","",""
"11/01/2019","British Beer Company","BRITISH BEER COMPANY 000000001 - PLYMOUTH, MA","31.00","debit","Restaurants","American Express Gold Card","",""
"11/01/2019","Amazon","AMAZON.COM*JC7E37IV3 AMZN.COM/BILLWA1W1E97G8IK8","35.00","debit","Shopping","Discover","",""
"11/01/2019","TST* TATTE BAKERY NORTH 300513810 - BOSTON, MA","TST* TATTE BAKERY NORTH 300513810 - BOSTON, MA","4.82","debit","Restaurants","American Express Gold Card","",""
"10/31/2019","NORTHEASTERN UNI PAYROLL PPD ID: 7041679980","NORTHEASTERN UNI PAYROLL","1209.12","credit","Paycheck","TOTAL CHECKING","",""
"10/31/2019","REMOTE ONLINE DEPOSIT # 1 1","REMOTE ONLINE DEPOSIT #","225.00","credit","Income","TOTAL CHECKING","",""
"10/30/2019","Wollastons Market","WOLLASTON'S MARKET - BOSTON, MA","6.29","debit","Groceries","American Express Gold Card","",""
"10/30/2019","DISCOVER E-PAYMENT 4801 WEB ID: 2510020270","DISCOVER         E-PAYMENT  4801","56.57","debit","Credit Card Payment","TOTAL CHECKING","",""
"10/30/2019","CITI CARD ONLINE PAYMENT 1531 06088796922 WEB ID: CITICTP","CITI CARD ONLINE PAYMENT    1531","29.69","debit","Credit Card Payment","TOTAL CHECKING","",""
"10/30/2019","Venmo Cashout Ppd","VENMO            CASHOUT","38.52","credit","Income","TOTAL CHECKING","",""
"10/30/2019","TST* TATTE BAKERY NORTH 300513810 - BOSTON, MA","TST* TATTE BAKERY NORTH 300513810 - BOSTON, MA","5.09","debit","Restaurants","American Express Gold Card","",""
"10/30/2019","PHO VIETS","PHO VIETS","31.30","debit","Restaurants","freedom","",""
"10/29/2019","Chase card ending in 3408 10/29","Payment to Chase card ending in","244.62","debit","Credit Card Payment","TOTAL CHECKING","",""
"10/29/2019","American Express","AMERICAN EXPRESS ACH PMT    M634","297.08","debit","Credit Card Payment","TOTAL CHECKING","",""
"10/29/2019","Dollar Tree","DOLLARTREE","4.24","debit","Shopping","freedom","",""
